Time,Interest,Boredom,Admiration,Disappointment,Surprise (positive),Surprise (negative)
0.32,0.56,0.2,0.22,0.12,0.1,0.06
0.68,0.48,0.45,0.18,0.21,0.04,0.04
1.0,0.47,0.48,0.17,0.23,0.04,0.04
1.32,0.44,0.55,0.14,0.24,0.05,0.05
1.68,0.43,0.62,0.14,0.25,0.04,0.04
2.0,0.42,0.44,0.14,0.23,0.09,0.09
2.32,0.38,0.62,0.13,0.29,0.03,0.03
2.68,0.44,0.51,0.17,0.25,0.03,0.03
3.0,0.52,0.39,0.19,0.19,0.04,0.03
3.32,0.49,0.44,0.2,0.21,0.04,0.03
3.68,0.41,0.31,0.19,0.21,0.03,0.02
4.0,0.49,0.42,0.2,0.19,0.03,0.03
4.32,0.48,0.44,0.2,0.2,0.03,0.03
4.68,0.52,0.4,0.22,0.17,0.04,0.03
5.0,0.55,0.24,0.21,0.13,0.13,0.08
5.32,0.53,0.21,0.23,0.13,0.12,0.07
5.68,0.52,0.08,0.25,0.05,0.07,0.03
6.0,0.57,0.08,0.27,0.05,0.05,0.02
6.32,0.6,0.17,0.25,0.09,0.07,0.04
6.68,0.61,0.14,0.25,0.08,0.08,0.04
7.0,0.61,0.14,0.25,0.08,0.08,0.04
7.32,0.65,0.15,0.26,0.08,0.08,0.04
7.68,0.6,0.16,0.25,0.09,0.06,0.04
8.0,0.57,0.16,0.26,0.1,0.06,0.03
8.32,0.56,0.19,0.24,0.12,0.06,0.04
8.68,0.57,0.35,0.25,0.16,0.03,0.02
9.0,0.49,0.35,0.23,0.2,0.03,0.03
9.32,0.45,0.28,0.23,0.18,0.03,0.02
9.68,0.55,0.35,0.24,0.17,0.03,0.03
10.0,0.63,0.32,0.22,0.13,0.04,0.03
10.32,0.43,0.37,0.15,0.25,0.03,0.03
10.68,0.44,0.38,0.16,0.26,0.04,0.03
11.0,0.46,0.37,0.18,0.25,0.04,0.03
11.32,0.45,0.37,0.16,0.25,0.03,0.03
11.68,0.44,0.37,0.17,0.26,0.03,0.03
12.0,0.45,0.36,0.17,0.24,0.03,0.03
12.32,0.46,0.35,0.19,0.24,0.03,0.03
12.68,0.41,0.39,0.14,0.29,0.03,0.03
13.0,0.4,0.37,0.13,0.29,0.03,0.03
13.32,0.42,0.37,0.15,0.27,0.03,0.03
13.68,0.47,0.34,0.2,0.21,0.03,0.03
14.0,0.47,0.26,0.18,0.16,0.16,0.11
14.32,0.44,0.22,0.2,0.15,0.23,0.16
14.68,0.32,0.23,0.18,0.16,0.15,0.1
15.0,0.29,0.24,0.18,0.16,0.14,0.11
15.32,0.43,0.34,0.2,0.22,0.05,0.05
15.68,0.32,0.3,0.16,0.27,0.05,0.05
16.0,0.22,0.3,0.1,0.17,0.11,0.11
16.32,0.28,0.25,0.12,0.16,0.27,0.22
16.68,0.51,0.33,0.21,0.16,0.05,0.03
17.0,0.47,0.29,0.17,0.18,0.1,0.08
17.32,0.53,0.21,0.2,0.13,0.1,0.07
17.68,0.45,0.24,0.18,0.14,0.21,0.13
18.0,0.52,0.28,0.2,0.16,0.06,0.04
18.32,0.54,0.28,0.23,0.15,0.04,0.03
18.68,0.5,0.35,0.22,0.19,0.03,0.02
19.0,0.49,0.22,0.19,0.14,0.12,0.08
19.32,0.48,0.22,0.2,0.15,0.09,0.06
19.68,0.43,0.31,0.15,0.19,0.15,0.12
20.0,0.53,0.29,0.18,0.16,0.14,0.08
20.32,0.46,0.45,0.17,0.23,0.03,0.03
20.68,0.57,0.17,0.22,0.09,0.06,0.03
21.0,0.31,0.3,0.15,0.19,0.02,0.02
21.32,0.5,0.21,0.21,0.13,0.19,0.11
21.68,0.54,0.33,0.23,0.17,0.07,0.05
22.0,0.55,0.33,0.24,0.15,0.04,0.03
22.32,0.55,0.3,0.24,0.15,0.05,0.03
22.68,0.52,0.27,0.18,0.17,0.08,0.06
23.0,0.56,0.19,0.23,0.12,0.12,0.07
23.32,0.45,0.21,0.19,0.13,0.22,0.12
23.68,0.38,0.24,0.16,0.16,0.28,0.17
24.0,0.5,0.34,0.24,0.17,0.03,0.02
24.32,0.43,0.12,0.2,0.08,0.18,0.08
24.68,0.51,0.27,0.24,0.16,0.04,0.03
25.0,0.48,0.17,0.2,0.12,0.11,0.07
25.32,0.55,0.24,0.24,0.13,0.05,0.03
25.68,0.51,0.21,0.2,0.12,0.18,0.09
26.0,0.47,0.27,0.17,0.16,0.2,0.13
26.32,0.39,0.26,0.15,0.16,0.31,0.2
26.68,0.59,0.13,0.23,0.07,0.07,0.04
27.0,0.47,0.23,0.19,0.15,0.17,0.11
27.32,0.59,0.21,0.22,0.12,0.1,0.06
27.68,0.53,0.21,0.21,0.14,0.12,0.08
28.0,0.57,0.16,0.23,0.1,0.11,0.05
28.32,0.58,0.16,0.23,0.09,0.09,0.05
28.68,0.51,0.28,0.19,0.17,0.08,0.06
29.0,0.56,0.2,0.25,0.12,0.14,0.08
29.32,0.55,0.22,0.25,0.13,0.16,0.1
29.68,0.59,0.22,0.27,0.13,0.12,0.07
30.0,0.54,0.15,0.23,0.09,0.08,0.04
30.32,0.5,0.19,0.21,0.14,0.14,0.09
30.68,0.45,0.3,0.16,0.21,0.08,0.07
31.0,0.47,0.17,0.22,0.11,0.28,0.13
31.32,0.5,0.16,0.24,0.11,0.21,0.11
31.68,0.51,0.21,0.25,0.15,0.15,0.09
32.0,0.48,0.31,0.23,0.2,0.05,0.04
32.32,0.2,0.32,0.12,0.21,0.01,0.01
32.68,0.37,0.2,0.15,0.17,0.11,0.09
33.0,0.51,0.32,0.21,0.17,0.04,0.03
33.32,0.48,0.36,0.18,0.21,0.05,0.05
33.68,0.5,0.33,0.17,0.19,0.11,0.08
34.0,0.58,0.18,0.26,0.1,0.05,0.03
34.32,0.61,0.23,0.28,0.11,0.05,0.03
34.68,0.57,0.18,0.23,0.11,0.09,0.05
35.0,0.56,0.2,0.22,0.12,0.08,0.05
35.32,0.39,0.23,0.16,0.2,0.06,0.05
35.68,0.41,0.33,0.13,0.23,0.08,0.08
36.0,0.43,0.27,0.15,0.17,0.15,0.11
36.32,0.52,0.37,0.22,0.17,0.03,0.02
36.68,0.57,0.24,0.21,0.12,0.07,0.05
37.0,0.57,0.28,0.22,0.13,0.05,0.03
37.32,0.57,0.3,0.22,0.14,0.06,0.04
37.68,0.52,0.19,0.23,0.12,0.13,0.07
38.0,0.5,0.21,0.21,0.15,0.07,0.05
38.32,0.54,0.19,0.24,0.12,0.13,0.07
38.68,0.51,0.17,0.2,0.11,0.06,0.04
39.0,0.53,0.21,0.21,0.13,0.08,0.05
39.32,0.54,0.22,0.22,0.14,0.1,0.06
39.68,0.54,0.2,0.25,0.13,0.19,0.11
40.0,0.53,0.19,0.25,0.12,0.26,0.14
40.32,0.52,0.24,0.23,0.16,0.14,0.09
40.68,0.46,0.22,0.19,0.17,0.09,0.07
41.0,0.46,0.21,0.2,0.18,0.07,0.06
41.32,0.54,0.22,0.23,0.14,0.15,0.09
41.68,0.37,0.15,0.15,0.14,0.1,0.09
42.0,0.51,0.24,0.19,0.16,0.07,0.06
42.32,0.38,0.27,0.14,0.16,0.33,0.23
42.68,0.49,0.22,0.18,0.13,0.19,0.11
43.0,0.49,0.56,0.16,0.21,0.04,0.03
43.32,0.46,0.31,0.15,0.16,0.26,0.16
43.68,0.51,0.27,0.17,0.15,0.11,0.08
44.0,0.56,0.27,0.2,0.14,0.08,0.06
44.32,0.52,0.38,0.2,0.18,0.04,0.03
44.68,0.48,0.19,0.18,0.09,0.2,0.1
45.0,0.56,0.24,0.2,0.12,0.07,0.05
45.32,0.43,0.38,0.17,0.24,0.04,0.04
45.68,0.31,0.29,0.09,0.31,0.06,0.09
46.0,0.46,0.37,0.2,0.23,0.04,0.04
46.32,0.48,0.34,0.19,0.22,0.06,0.05
46.68,0.47,0.24,0.18,0.17,0.19,0.13
47.0,0.43,0.41,0.15,0.25,0.05,0.05
47.32,0.55,0.25,0.19,0.16,0.09,0.07
47.68,0.48,0.23,0.19,0.16,0.21,0.14
48.0,0.58,0.19,0.22,0.1,0.13,0.07
48.32,0.57,0.18,0.23,0.1,0.11,0.06
48.68,0.58,0.22,0.22,0.13,0.08,0.06
49.0,0.35,0.27,0.15,0.21,0.05,0.04
49.32,0.46,0.35,0.19,0.23,0.03,0.03
49.68,0.54,0.3,0.27,0.17,0.04,0.03
50.0,0.41,0.19,0.17,0.15,0.15,0.11
50.32,0.5,0.31,0.19,0.21,0.05,0.04
50.68,0.51,0.32,0.22,0.19,0.04,0.03
51.0,0.51,0.26,0.18,0.17,0.13,0.09
51.32,0.5,0.22,0.2,0.16,0.1,0.08
51.68,0.44,0.2,0.18,0.12,0.19,0.11
52.0,0.46,0.33,0.17,0.21,0.08,0.06
52.32,0.44,0.28,0.16,0.2,0.1,0.09
52.68,0.41,0.27,0.16,0.21,0.09,0.08
53.0,0.5,0.25,0.2,0.17,0.11,0.08
53.32,0.51,0.25,0.2,0.16,0.1,0.07
53.68,0.49,0.25,0.19,0.17,0.1,0.08
54.0,0.55,0.24,0.21,0.14,0.1,0.07
54.32,0.5,0.25,0.19,0.16,0.11,0.08
54.68,0.52,0.25,0.2,0.16,0.09,0.06
55.0,0.54,0.24,0.2,0.15,0.08,0.06
55.32,0.52,0.25,0.2,0.16,0.07,0.05
55.68,0.51,0.24,0.2,0.16,0.08,0.06
56.0,0.57,0.24,0.22,0.14,0.07,0.05
56.32,0.48,0.26,0.18,0.18,0.08,0.07
56.68,0.48,0.25,0.19,0.18,0.08,0.06
57.0,0.51,0.25,0.19,0.16,0.07,0.06
57.32,0.47,0.26,0.18,0.19,0.09,0.07
57.68,0.49,0.22,0.21,0.16,0.15,0.11
58.0,0.18,0.27,0.08,0.18,0.06,0.06
58.32,0.35,0.21,0.17,0.18,0.3,0.22
58.68,0.5,0.32,0.19,0.18,0.04,0.03
59.0,0.48,0.39,0.2,0.19,0.04,0.03
59.32,0.51,0.32,0.22,0.16,0.03,0.03
59.68,0.44,0.24,0.19,0.17,0.19,0.14
60.0,0.28,0.23,0.13,0.15,0.42,0.3
60.32,0.24,0.24,0.1,0.15,0.37,0.28
60.68,0.27,0.2,0.13,0.14,0.47,0.31
61.0,0.23,0.14,0.12,0.12,0.59,0.41
61.32,0.19,0.06,0.09,0.07,0.61,0.46
61.68,0.35,0.21,0.12,0.18,0.3,0.25
62.0,0.37,0.31,0.11,0.21,0.21,0.21
62.32,0.43,0.27,0.15,0.17,0.29,0.2
62.68,0.44,0.36,0.13,0.19,0.18,0.15
63.0,0.46,0.55,0.14,0.22,0.04,0.04
63.32,0.49,0.42,0.2,0.2,0.03,0.03
63.68,0.52,0.28,0.19,0.18,0.06,0.05
64.0,0.49,0.29,0.16,0.19,0.07,0.06
64.32,0.45,0.24,0.17,0.17,0.19,0.14
64.68,0.49,0.26,0.16,0.17,0.09,0.08
65.0,0.56,0.22,0.22,0.14,0.16,0.1
65.32,0.56,0.24,0.22,0.15,0.07,0.05
65.68,0.56,0.22,0.23,0.14,0.11,0.07
66.0,0.47,0.24,0.19,0.16,0.19,0.13
66.32,0.47,0.28,0.18,0.18,0.12,0.09
66.68,0.46,0.34,0.23,0.2,0.03,0.02
67.0,0.48,0.23,0.19,0.17,0.09,0.07
67.32,0.47,0.38,0.21,0.22,0.03,0.03
67.68,0.4,0.28,0.14,0.25,0.06,0.07
68.0,0.17,0.26,0.07,0.27,0.03,0.04
68.32,0.4,0.35,0.11,0.25,0.02,0.03
68.68,0.33,0.28,0.11,0.27,0.06,0.09
69.0,0.35,0.26,0.1,0.27,0.05,0.08
69.32,0.39,0.4,0.14,0.29,0.04,0.05
69.68,0.43,0.38,0.14,0.24,0.06,0.06
70.0,0.48,0.23,0.18,0.15,0.23,0.14
70.32,0.62,0.15,0.27,0.09,0.08,0.04
70.68,0.53,0.33,0.27,0.17,0.03,0.03
71.0,0.43,0.28,0.16,0.19,0.17,0.11
71.32,0.52,0.15,0.25,0.1,0.32,0.13
71.68,0.46,0.15,0.22,0.1,0.45,0.19
72.0,0.58,0.16,0.27,0.11,0.21,0.1
72.32,0.55,0.22,0.27,0.14,0.07,0.05
72.68,0.51,0.22,0.23,0.14,0.14,0.09
73.0,0.42,0.24,0.17,0.15,0.33,0.19
73.32,0.58,0.21,0.23,0.12,0.09,0.05
73.68,0.52,0.35,0.25,0.18,0.04,0.03
74.0,0.56,0.24,0.23,0.15,0.07,0.05
74.32,0.51,0.28,0.19,0.18,0.1,0.08
74.68,0.49,0.36,0.21,0.21,0.05,0.04
75.0,0.26,0.31,0.1,0.24,0.06,0.07
75.32,0.46,0.37,0.19,0.22,0.03,0.03
75.68,0.52,0.32,0.2,0.19,0.05,0.04
76.0,0.52,0.38,0.18,0.2,0.06,0.05
76.32,0.51,0.29,0.18,0.17,0.18,0.11
76.68,0.52,0.35,0.24,0.18,0.03,0.02
77.0,0.49,0.26,0.2,0.16,0.18,0.12
77.32,0.5,0.25,0.19,0.16,0.15,0.1
77.68,0.47,0.38,0.21,0.21,0.03,0.03
78.0,0.52,0.12,0.22,0.08,0.08,0.05
78.32,0.58,0.31,0.28,0.13,0.04,0.02
78.68,0.44,0.27,0.16,0.18,0.23,0.17
79.0,0.47,0.26,0.18,0.18,0.19,0.13
79.32,0.47,0.28,0.16,0.19,0.13,0.11
79.68,0.34,0.31,0.13,0.26,0.07,0.07
80.0,0.49,0.37,0.24,0.2,0.03,0.02
80.32,0.45,0.32,0.17,0.21,0.08,0.07
80.68,0.43,0.29,0.16,0.21,0.12,0.11
81.0,0.42,0.32,0.16,0.22,0.09,0.09
81.32,0.45,0.39,0.24,0.21,0.02,0.02
81.68,0.49,0.39,0.27,0.2,0.02,0.02
82.0,0.52,0.35,0.29,0.17,0.03,0.02
82.32,0.54,0.32,0.3,0.15,0.03,0.02
82.68,0.54,0.28,0.3,0.13,0.03,0.02
83.0,0.55,0.27,0.31,0.13,0.03,0.02
83.32,0.55,0.27,0.3,0.12,0.03,0.02
83.68,0.52,0.35,0.22,0.16,0.04,0.03
84.0,0.56,0.13,0.24,0.08,0.06,0.03
84.32,0.56,0.12,0.27,0.07,0.05,0.02
84.68,0.54,0.18,0.31,0.09,0.03,0.02
85.0,0.52,0.2,0.33,0.11,0.03,0.02
85.32,0.56,0.18,0.3,0.09,0.03,0.02
85.68,0.55,0.18,0.3,0.09,0.03,0.02
86.0,0.53,0.2,0.29,0.1,0.03,0.02
